contra,against
círculo,circle
círculos,circles
devolvemos,we give back
devuelven,return
devuelves,you return
devuelvo,I return
dáselo,give it to him
déselo,give it to him
dígame,tell me
dígamelo,tell me
dígaselo,tell him
díselo,tell her
empujando,pushing
empujar,Push
espero,wait
graba,record
grabando,recording
grabo,I record
hala,hello
halar,pull
incluir,include
lancé,throw
lanzamos,we launch
lanzar,launch
lanzas,spears
medio,medium
molesta,upset
parte de atrás,back
pusieron,they put
pusimos,we put
repetimos,we repeat
repite,repeat
repiten,repeat
repito,I repeat
salga,out
supieron,they knew
supimos,we found out
venga,come on
