actriz,actress
cantantes,singers
cliente,customer
concejo municipal,city Council
conductor,driver
conductora,driver
conductoras,drivers
conductores,drivers
copiaba,copied
copiamos,we copied
copiando,copying
copiaste,you copied
correo,mail
departamento,department
departamentos,departments
descargamos,we download
descargando,downloading
descargaste,you downloaded
descargué,downloaded
descargó,discharge
fotógrafa,photographer
fotógrafas,female photographers
fotógrafo,photographer
fotógrafos,photographers
física,physical
ganaba,won
ganaban,they won
ganabas,you won
ganar,win
ganó,won
impresora,printing machine
limpiador,cleaner
limpiadora,cleaner
limpiadoras,cleaners
limpiadores,cleaners
limpiando,Cleaning
madera,wood
ocupación,occupation
personal,staff
pienso que deberías,i think you should
recepcionista,receptionist
