anteayer,the day before yesterday
arroba,at sign
blog,Blog
borramos,we delete
borraste,you erased
borré,I deleted
buzón de
                    voz,voicemail
cable,wire
chateamos,we chat
chatear,chat
chatearon,they chatted
chateaste,you chatted
chateó,chatted
comunicarse,communicate
conectamos,we connect
conectar,connect
conectarme,connect me
conectaron,connected
conecté,i connected
conectó,connected
crea,creates
creamos,we create
crean,create
crear,create
creas,you believe
creo,I believe
creé,i created
creó,I believe
exacta,exact
exactas,exact
experto,expert
foro,forum
informática,computing
instalamos,we install
instalar,to install
instalaron,installed
instalaste,you installed
instaló,installed
intentaste,you tried
intentó,tried
me conecté,I connected
publicidad,advertising
publicidades,advertisements
página web,Web page
páginas web,websites
quedaron,were left
quedé,I stayed
quedó,stayed
recordó,remembered
se comunicaron,they communicated
se comunicó,he has communicated
se conectaron,they connected
soluciones,solutions
solución,solution
subieron,went up
subió,went up
subí,I went up
tableta,Tablet
te comunicas,you communicate
tecnología,technology
tecnologías,technologies
tema,theme
temas,topics
videojuego,videogame
videojuegos,video game
volvió,went back
