αδέλφια,"siblings, brother and sister, brothers"
αδελφή,"sister, a sister"
αδελφός,brother
γάμος,"marriage, wedding"
γιαγιά,"grandmother, gran, grandma"
γιος,son
γονείς,parents
γονιός,parent
θεία,aunt
θείος,uncle
κόρη,daughter
μητέρα,mother
μπαμπάς,"dad, daddy"
μωρό,"baby, infant"
νονά,godmother
νονός,godfather
ξάδελφος,cousin
οικογένεια,"family, a family"
οικογενειακός,family
παππούς,"grandfather, grandpa"
πατέρας,"father, a father"
συγγενής,"relative, cognate"
συγγενείς,"relatives, cognates, related"
σύζυγός,"wife, husband"
τύπος,"type, press, man"
όνομα,name
