αγγούρι,cucumber
αλάτι,salt
αυγό,egg
αχλάδι,pear
βοδινό,beef
γεύμα,"meal, dinner, lunch"
γλυκό,"sweet, dessert, candy"
γύρος,"gyro, gyros, turn"
δείπνο,"dinner, supper"
ελαιόλαδο,olive oil
ζάχαρη,"sugar, (of) sugar"
ζυμαρικά,"pasta, macaroni"
κέικ,cake
κέτσαπ,"ketchup, catsup"
καρπούζι,watermelon
καρότο,carrot
καφέ,"coffee, brown, of coffee"
καφές,"coffee, ο καφές"
κεράσι,cherry
κεφτές,"meatball, a meatball"
κοτόπουλο,chicken
κρέας,meat
κρασί,"wine, of wine"
κρεμμύδι,onion
λεμόνι,lemon
λουκάνικο,"sausage, hot dog, wiener"
με,"with, me, by"
μεσημεριανό,lunch
μπριζόλα,steak
μπύρα,beer
νόστιμο,"delicious, tasty, yummy"
νόστιμος,"tasty, delicious"
πίτσα,"pizza, of pizza"
παγωτό,ice cream
πατάτα,potato
πατάτες,potatoes
πεπόνι,"(a) melon, a melon"
πιάτο,"plate, dish"
πιπέρι,pepper
πορτοκάλι,"orange (fruit), an orange, is eating an orange"
πορτοκαλάδα,orangeade
ποτήρι,"glass, (a) glass (of)"
πρωινό,breakfast
ροδάκινο,peach
σαλάτα,"salad, a salad, any salad"
σκόρδο,garlic
σοκολάτα,chocolate
σούπα,soup
σταφύλι,grape
τομάτα,"tomato, tomatoes"
τροφή,"food, nourishment"
τσάι,tea
τσίζκεικ,"cheesecake, cheesecakes"
τυρί,cheese
φαγητό,food
φράουλα,strawberry
φρέσκο,fresh
φρούτο,fruit
χάμπουργκερ,"hamburger, burger"
χοιρινό,pork
χορτοφάγος,"vegetarian, a vegetarian"
χυμός,juice
ψάρι,fish
