άριστη,"excellent, an excellent, perfect"
ίδια,same
ακριβός,"expensive, costly, pricey"
ανεξάρτητο,independent
ανθρώπινη,"human, humane"
ανοιχτό,"open, light, on"
ανοιχτός,"light, open"
απαραίτητη,"necessary, essential"
αριστερός,"left, leftist"
βασικό,"basic, main"
βρώμικο,"dirty, filthy"
γενική,"general, generic"
γενικός,general
γρήγορος,fast
δίγλωσση,bilingual
δίγλωσσος,bilingual
δημοφιλής,popular
διάσημη,"famous, renowned, well-known"
διαφορετική,"different, unlike"
δύσκολη,"difficult, hard"
ενδιαφέρων,"interesting, an interesting"
επίσημος,"official, formal"
επόμενο,next
επόμενος,next
εύκολο,easy
ζεστό,"hot, warm"
ζωντανός,"alive, living"
θετικό,positive
ιδιαίτερο,special
ιδιαίτερος,special
ιστορική,"historical, historic"
καθαρό,"clean, pure, clear"
κακή,bad
καλός,"good, a good, kind"
κουρασμένη,tired
κουρασμένος,"tired, weary"
μικρός,"small, young, little"
ξύλινο,wooden
πιθανό,"possible, probable"
πολιτιστική,cultural
πραγματική,"real, actual"
πραγματικός,"real, a real, true"
προσωπικός,"personal, private"
πρόσφατο,"recent, latest, new"
σημαντική,"important, material, significant"
σκέτος,"black (coffee), plain, ordinary"
στρατιωτική,military
σύγχρονη,"modern, contemporary, current"
τέλεια,"perfect, perfectly, great"
τελική,"final, last, ultimate"
τοπικό,"local, regional"
τοπικός,"local, regional"
υπέροχος,"great, wonderful, awesome"
υπεύθυνος,"responsible, in charge, liable"
φυσιολογική,normal
χαρούμενος,"happy, cheerful, glad"
ωραίος,"nice, beautiful"
όμορφο,"beautiful, pretty, lovely"
