άλογο,"horse, a horse"
έντομο,"bug, insect"
αετός,eagle
αλεπού,fox
αράχνη,spider
αρκούδα,bear
γάτα,"cat, kitten"
ελέφαντας,elephant
ερπετό,"reptile, a reptile, crawler"
ζώο,"animal, an animal"
θηλαστικό,"mammal, a mammal"
καβούρι,crab
καμήλα,camel
καμηλοπάρδαλη,giraffe
κατοικίδιο,"pet, a pet"
κουτάβι,"puppy, pup"
κότα,"hen, chicken"
λαγός,"hare, jack rabbit"
λιοντάρι,lion
λύκος,"wolf, this wolf does not eat"
πάπια,duck
πίθηκος,"ape, monkey"
πελεκάνος,pelican
πεταλούδα,butterfly
ποντίκι,"mouse, a mouse"
πουλί,"bird, a bird"
σκύλος,dog
τίγρης,tiger
χάμστερ,"hamster, hamsters"
χελώνα,"turtle, tortoise"
