γάντι,glove
γραβάτα,"tie, necktie"
δερμάτινες,leather
δερμάτινη,leather
δερμάτινο,leather
ζακέτα,"sweater, jacket, cardigan"
ζώνη,"zone, a belt, one belt"
κάλτσα,sock
κάλτσες,socks
καπέλο,"hat, a hat, cap"
κασκόλ,"scarves, (a) scarf"
κοσμήματα,"jewelry, jewellery, jewels"
κοστούμι,"suit, costume"
κόσμημα,"jewel, jewellery, piece of jewellery"
μάλλινο,"woollen, woolen, wool"
μάλλινος,"woolen, woollen, woollen one"
μπλούζα,"blouse, a blouse, shirt (no buttons)"
μπουφάν,"jacket, parka"
μπότα,"boot, buskin"
μπότες,boots
παλτό,"coat, a coat, overcoat"
παντελόνι,"pants, trousers, pair of pants"
παπούτσια,shoes
πορτοφόλι,"wallet, purse"
πουκάμισο,"shirt, a shirt, shirt (with buttons)"
ρούχα,"clothes, clothing"
σκούφους,"winter caps, skull caps"
τσέπη,pocket
φοράει,"(he/she/it) is wearing, (he/she/it) wears"
φοράω,"I am wearing, I wear"
φούστα,"skirt, a skirt"
φόρεμα,dress
