άσπρη,white
άσπρο,white
ανοιχτό,"open, light, on"
ασπρόμαυρο,black and white
γαλάζιο,"light blue, pale blue, a light blue dress"
γκρι,"gray, grey"
κίτρινα,yellow
κίτρινη,yellow
κίτρινο,yellow
καφέ,"coffee, brown, of coffee"
κόκκινη,"red, ruby, scarlet"
κόκκινο,red
λαχανί,light green
λευκό,white
μαύρο,black
μαύρος,black
μοβ,"purple, mauve"
μπλε,"blue, a blue"
πολύχρωμο,"multicolored, colorful, colourful"
πορτοκαλί,orange (color)
πράσινη,green
πράσινο,"green, greenery"
ροζ,"pink, a pink"
σκούρο,dark
χρώμα,"color, colour, paint"
