άνοιξη,spring
αιώνας,century
απρίλιος,april
απόγευμα,"afternoon, evening"
απόψε,"tonight, this evening"
αρχή,"beginning, start, from scratch"
αύγουστος,August
αύριο,tomorrow
βράδυ,"night, evening, night (early)"
γέννηση,birth
γενιά,generation
δεκέμβριος,december
δεκαετία,decade
δευτέρα,Monday
δευτερόλεπτο,second
εβδομάδα,week
εποχή,"season, age, epoch"
ηλικία,age
ημέρα,day
ημερολόγιο,"calendar, diary"
ημερομηνία,"date, a date"
ιανουάριος,january
ιούλιος,July
ιούνιος,June
καλοκαίρι,summer
κυριακή,Sunday
λίγο,"a little, some, a bit (of)"
λεπτό,"minute, 1/100 of a euro/dollar, 1/60 of an hour"
μάιος,may
μάρτιος,march
μέχρι,"by, until, to"
μήνας,month
νοέμβριος,november
νύχτα,"night, by the night, tonight"
οκτώβριος,October
πάρτι,"party, parties"
πέμπτη,"thursday, fifth"
πέρυσι,last year
παζάρι,"fair, bargain, bazaar"
παρασκευή,"Friday, on Friday"
περίοδος,"period, time"
πριν,"ago, before"
πρωί,morning
σάββατο,saturday
σήμερα,today
σεπτέμβριος,September
σκηνή,"stage, scene, a scene"
στιγμή,"moment, instant"
τέλος,"finale, end, ending"
τετάρτη,Wednesday
τρίτη,"Tuesday, third"
φέτος,this year
φεβρουάριος,february
φθινόπωρο,"fall, autumn"
χειμώνας,winter
χθες,yesterday
χρόνος,"year, time"
ώρα,"hour, time"
