έπιπλο,"furniture, piece of furniture"
αποθήκη,"storage room, a storeroom, pantry"
βιβλιοθήκη,"library, bookcase"
βρύση,"faucet, tap"
δωμάτιο,"room, a room"
καλοριφέρ,"radiator, central heating, heater"
καναπές,"sofa, couch"
κουζίνα,"kitchen, stove, cooker"
κρεβάτι,"bed, a bed"
μαξιλάρι,"pillow, cushion"
νεροχύτης,sink
ντουλάπα,"closet, wardrobe"
ντους,shower
οδοντόκρεμα,toothpaste
οροφή,"ceiling, roof"
πάτωμα,"floor, ground"
παράθυρο,window
πολυθρόνα,"armchair, lounge chair"
πόρτα,door
σαλόνι,"living room, sitting room, a living room"
σκάλα,"staircase, ladder, stairs"
σκεπή,roof
σοφίτα,"attic, loft, the attic"
σπίτι,house
ταβάνι,"ceiling, roof, the ceiling"
τοίχος,wall
τουαλέτα,"bathroom, toilet, WC"
τραπέζι,table
τραπεζαρία,"dining room, refectory"
υπνοδωμάτιο,bedroom
υπόγειο,"basement, a basement, cellar"
φούρνος,"oven, furnace"
φωτιστικό,"lamp, light, light fixture"
χαλί,"carpet, rug"
χολ,"hall, corridor, hallway"
ψυγείο,"fridge, refrigerator"
