άθροισμα,sum
ένα,"a, an, one"
έντεκα,eleven
έξι,six
ανά,"per, a"
αριθμός,"number, a number, digit"
αρκετό,enough
δέκα,ten
δεκαέξι,sixteen
δεκαεννιά,nineteen
δεκαεπτά,seventeen
δεκαοχτώ,eighteen
δεκαπέντε,fifteen
δεκατέσσερα,fourteen
δεκατρία,thirteen
δύο,two
δώδεκα,twelve
είκοσι,twenty
εβδομήντα,seventy
εκατομμύριο,million
εκατό,"hundred, one hundred, a hundred"
ενενήντα,ninety
εννέα,"nine, nine o'clock"
εξήντα,sixty
επτά,seven
ζευγάρι,"couple, a couple, a couple of"
λιγότερο,less
μέσος,"average, middle"
μέτρο,"meter, measure, a measure"
μηδέν,"zero, nought"
μισό,half (a/an)
νούμερο,"number, figure, numeral"
ογδόντα,eighty
οκτώ,eight
οχτώ,eight
πέντε,five
πενήντα,fifty
πλειοψηφία,"majority, In the majority, a majority"
πολλοί,"A lot of, Many"
πολύ,"very, a lot, too"
ποσό,"amount, sum"
σαράντα,forty
σύνολο,"total, sum"
τέσσερα,four
τελευταίος,"last, final"
τρία,three
τρίτος,third
τριάντα,thirty
χιλιάδες,thousand
ψηφίο,digit
