αλυσίδα,chain
αντικείμενο,"object, item, thing"
γράμμα,(a) letter
γραφείο,"desk, office"
δώρο,"gift, present"
καθρέφτης,mirror
καλάθι,basket
καμπάνα,"bell, bell-bottomed trousers"
καναπές,"sofa, couch"
καρέκλα,"chair, a chair, the chair"
κινητό,"cellphone, mobile, mobile phone"
κομμάτι,"piece, part, bit"
κουτάλι,"spoon, spoonful"
κουτί,"box, can"
κούπα,"cup, beaker, mug"
κρεβάτι,"bed, a bed"
λάμπα,"lamp, lightbulb"
μαχαίρι,knife
μηχανή,"engine, machine, motorbike"
μπαταρία,"battery, a battery"
μπολ,"bowl, bowls"
μπουκάλι,bottle
μυθιστόρημα,"novel, a novel"
ντουλάπι,"cupboard, locker"
ξυράφι,"razor, razor blade"
οδοντόβουρτσα,toothbrush
οδοντόπαστα,toothpaste
οθόνη,"screen, monitor"
ομπρέλα,"umbrella, an umbrella"
πάτωμα,"floor, ground"
παιχνίδι,"game, toy, match"
παράθυρο,window
περιοδικό,"magazine, periodical"
πιρούνι,fork
πισίνα,"pool, swimming pool, a swimming pool"
πορτοφόλι,"wallet, purse"
ποτήρι,"glass, (a) glass (of)"
πράγμα,"thing, things., object"
πόρτα,door
ρίζα,root
ραδιόφωνο,"radio, radiophone, the radio"
ρολόι,"watch, clock, a watch"
ρόδα,wheel
σαπούνι,soap
σεντόνι,"bedsheet, bed sheet, (a) sheet"
σημαία,"flag, banner"
σκεπή,roof
σφουγγάρι,"sponge, a sponge"
τηγάνι,"pan, frying pan"
τηλέφωνο,"telephone, phone"
τηλεόραση,"television, tv, tv set"
τοίχος,wall
τραπέζι,table
τσάντα,"bag, handbag"
υπολογιστής,"computer, (personal) computer, PC"
χαρτί,"paper, of paper"
χτένα,"comb, a comb"
ψαλίδι,scissors
