άλογα,horses
αυγά,eggs
βιβλία,books
γάντια,gloves
γάτες,cats
γλυκά,"sweets, sweet (adj. neut. plural)"
γραβάτες,ties
ελέφαντες,elephants
εφημερίδες,"newspapers, papers"
ζώα,animals
καπέλα,"hats, caps"
μήλα,apples
μπισκότα,"cookies, biscuits"
πάπιες,"ducks, duck"
πιάτα,"plates, dishes"
πουκάμισα,shirts (n)(nom/acc)
πουλιά,sell
σάντουιτς,"sandwich, a sandwich, sandwiches"
σκύλοι,dogs
σοκολάτες,chocolates
τις,the
φίλοι,"friend, buddy, mate"
φούστες,skirts
χελώνες,"turtles, are the turtles, tortoises"
