άνθρωποι,"people, human, humans"
άνθρωπος,"human, person, human being"
άτομο,"person, individual"
ίδρυμα,"foundation, institute, institution"
γείτονας,neighbor
επιτροπή,committee
εχθρός,"enemy, foe"
ζευγάρι,"couple, a couple, a couple of"
θύμα,remember
κοινό,"public, audience, common"
κοπέλα,"girl, girlfriend (+ posses.), young lady"
κουλτούρα,culture
κυρία,"lady, madam"
μωρό,"baby, infant"
νεολαία,"youth, young (people)"
πληθυσμός,population
πολίτης,"citizen, civilian"
συνέδριο,conference
σχέση,"relationship, a relationship, relation"
φίλη,"friend, girlfriend"
φίλος,"friend, buddy, mate"
φιλάω,"friend, buddy, mate"
όνομα,name
