έδαφος,"ground, land, soil"
αγορά,"market, buy, buying"
αεροδρόμιο,"airport, an airport"
ακτή,"coast, shore, the coast"
αυλή,"yard, backyard, court"
βορράς,north
γειτονιά,"neighborhood, neighbourhood, vicinity"
γραφείο,"desk, office"
γυμναστήριο,"gym, gymnasium, the gym"
γωνία,"corner, angle, on the corner"
δεξιά,"right, on the right, to the right"
διαδρομή,"route, commute, journey"
διεύθυνση,address
δρόμος,"street, road, route"
δωμάτιο,"room, a room"
εκκλησία,church
ελλάδα,Greece
εστιατόριο,restaurant
εσωτερικό,"inside, interior"
ζωολογικός,zoological
ζώνη,"zone, a belt, one belt"
ιδιοκτησία,"property, ownership"
κάστρο,castle
κέντρο,"center, centre, middle"
κήπος,garden
καφετέρια,"coffee shop, cafe"
κοιλάδα,valley
κορυφή,"top, the top, he's the best"
κουζίνα,"kitchen, stove, cooker"
κτίριο,building
κωμόπολη,town
λεωφόρος,"avenue, boulevard"
λιμάνι,"port, harbor, harbour"
μέρος,"place, part, piece"
μέσα,"in, inside, within"
μουσείο,museum
μπάνιο,"bathroom, WC, a bathroom"
μπαρ,"bar, bars"
μπροστά,"front, in front, ahead"
νεκροταφείο,"cemetery, graveyard"
νησί,(an) island
ξενοδοχείο,"hotel, at a hotel"
πάρκο,park
παραλία,"beach, beachfront, seaside"
περιοχή,"region, area, district"
περιφέρεια,"district, circumference, province"
πλατεία,square
πόλη,"city, town"
πύργος,tower
σινεμά,"cinema, movies, movie theater"
σταθμός,"station, a station, post"
ταβέρνα,"a Greek restaurant, Greek restaurant, taverna"
τμήμα,"department, part, section"
τοποθεσία,"site, location, place"
τράπεζα,bank
φάρμα,farm
φυλακή,"prison, in prison, jail"
χωριό,village
χώρα,country
