αεροδρόμια,airports
αεροδρόμιο,"airport, an airport"
αεροπλάνο,"airplane, plane"
αεροσυνοδός,"flight attendant, stewardess, air hostess"
αμάξι,"car, automobile"
αποσκευές,"baggage, luggage, luggages"
αποσκευή,"luggage, bag, baggage"
αυτοκίνητο,"car, a car, automobile"
βάρκα,boat
βαλίτσα,suitcase
βενζίνη,"gas, petrol, fuel"
διόδια,"tolls, toll, tollbooths"
εισιτήρια,tickets
εκδοτήριο,"ticket office, booking office, ticket booth"
ελέγχουν,control
ελικόπτερα,helicopters
κίνηση,traffic
καύσιμα,fuel
καύσιμο,"fuel, combustible"
κράνος,"helmet, a helmet"
λεωφορεία,"buses, busses"
λεωφορείο,bus
λιμάνι,"port, harbor, harbour"
μέσα μαζικής μεταφοράς,public transport
μετρό,"subway, a subway, metro"
μηχανάκι,"motorcycle, motorbike, bike"
νταλίκα,"truck, trailer truck, articulated lorry"
νταλίκας,"tractor-trailer, articulated lorry, lorry"
πεζοδρόμιο,"sidewalk, pavement"
πλοίο,ship
ποδήλατο,"bike, bicycle"
στάση,"stop, station, rank"
σταθμό,"station, stop"
ταξί,"taxi, taxis, taxi cab"
ταξίδι,"trip, journey, a journey"
ταξιδεύω,"travel, I travel, I am travelling"
τιμόνι,"wheel, steering wheel"
τραίνο,train
τρακτέρ,tractor
τραμ,tram
υποβρύχιο,"submarine, a submarine"
φανάρι,traffic light
φανάρια,traffic lights
φορτηγά,"trucks, lorries, vans"
φορτηγό,"truck, van, lorry"
όχημα,vehicle
