έκπληξη,surprise,έκπληξη,surprise
ακολουθία,"order, following, sequence",ακολουθία,"order, following, sequence"
αλήθεια,"truth, true",αλήθεια,"truth, true"
απόφαση,"decision, determination",απόφαση,"decision, determination"
διάστημα,space,διάστημα,space
δύναμη,"strength, force, power",δύναμη,"strength, force, power"
εμπειρία,experience,εμπειρία,experience
ενδιαφέρον,"interesting, interest",ενδιαφέρον,"interesting, interest"
ευχαρίστηση,"pleasure, gratification",ευχαρίστηση,"pleasure, gratification"
ζημιά,"damage, detriment, harm",ζημιά,"damage, detriment, harm"
ζωή,"life, a life",ζωή,"life, a life"
θέση,"position, place, seat",θέση,"position, place, seat"
θρησκεία,religion,θρησκεία,religion
κίνηση,traffic,κίνηση,traffic
κατάσταση,"situation, shape, condition",κατάσταση,"situation, shape, condition"
κατεύθυνση,"direction, way",κατεύθυνση,"direction, way"
μίσος,"hate, hatred, enmity",μίσος,"hate, hatred, enmity"
μνήμη,"memory, any memory, remembrance",μνήμη,"memory, any memory, remembrance"
μυστικό,secret,μυστικό,secret
πίστη,"faith, belief",πίστη,"faith, belief"
παράδειγμα,"example, instance",παράδειγμα,"example, instance"
πραγματικότητα,reality,πραγματικότητα,reality
προέλευση,origin,προέλευση,origin
προσπάθεια,"attempt, effort, try",προσπάθεια,"attempt, effort, try"
πόθος,"desire, lust, craving",πόθος,"desire, lust, craving"
σεβασμός,respect,σεβασμός,respect
σκηνή,"stage, scene, a scene",σκηνή,"stage, scene, a scene"
σκιά,"shadow, shade",σκιά,"shadow, shade"
σκοπός,"purpose, aim, guard",σκοπός,"purpose, aim, guard"
συζήτηση,"conversation, discussion, discourse",συζήτηση,"conversation, discussion, discourse"
συμπεριφορά,"behavior, attitude, behavior / behaviour",συμπεριφορά,"behavior, attitude, behavior / behaviour"
σχέση,"relationship, a relationship, relation",σχέση,"relationship, a relationship, relation"
σχήμα,"shape, figure",σχήμα,"shape, figure"
σύμβολο,"symbol, emblem, ensign",σύμβολο,"symbol, emblem, ensign"
σύνθημα,"cue, password, catchword",σύνθημα,"cue, password, catchword"
τίτλος,title,τίτλος,title
υπογραφή,"signature, a signature, subscription",υπογραφή,"signature, a signature, subscription"
φόβος,fear,φόβος,fear
χαρακτήρας,character,χαρακτήρας,character
χιούμορ,"humor, a sense of humor/humour, wit",χιούμορ,"humor, a sense of humor/humour, wit"
ψέμα,"lie, false, falsehood",ψέμα,"lie, false, falsehood"
όφελος,"advantage, profit, to be gained",όφελος,"advantage, profit, to be gained"
άκρη,"edge, end, side",άκρη,"edge, end, side"
έννοια,"concept, concern",έννοια,"concept, concern"
αγάπη,"love, you love",αγάπη,"love, you love"
απάντηση,"an answer, response, a reply",απάντηση,"an answer, response, a reply"
αποτέλεσμα,"result, effect, results",αποτέλεσμα,"result, effect, results"
αποτυχία,failure,αποτυχία,failure
απόδειξη,"proof, evidence, receipt",απόδειξη,"proof, evidence, receipt"
βραβείο,"award, prize, reward",βραβείο,"award, prize, reward"
δραστηριότητα,"activity, occupation, pastime",δραστηριότητα,"activity, occupation, pastime"
είσοδος,"entrance, entry, gateway",είσοδος,"entrance, entry, gateway"
εικόνα,"image, picture, figure",εικόνα,"image, picture, figure"
εισαγωγή,"introduction, admission",εισαγωγή,"introduction, admission"
ελευθερία,"freedom, liberty",ελευθερία,"freedom, liberty"
ελπίδα,hope,ελπίδα,hope
εξοπλισμός,"equipment, outfit",εξοπλισμός,"equipment, outfit"
επιλογή,"choice, option, a choice",επιλογή,"choice, option, a choice"
επιτυχία,"success, gateway to success",επιτυχία,"success, gateway to success"
ευγένεια,"politeness, civility, courtesy",ευγένεια,"politeness, civility, courtesy"
ευκαιρία,"opportunity, chance, bargain",ευκαιρία,"opportunity, chance, bargain"
ευχή,wish,ευχή,wish
θάνατος,death,θάνατος,death
θέα,view,θέα,view
καθήκον,duty,καθήκον,duty
κατασκευή,"construction, building, structure",κατασκευή,"construction, building, structure"
κατηγορία,"category, accusation, genre",κατηγορία,"category, accusation, genre"
λάθος,"Wrong, mistake, error",λάθος,"Wrong, mistake, error"
λίστα,list,λίστα,list
λύση,"solution, solution to",λύση,"solution, solution to"
μέλος,member,μέλος,member
μέρος,"place, part, piece",μέρος,"place, part, piece"
νέα,"new, news, young",νέα,"new, news, young"
ξεκούραση,"rest, relaxation",ξεκούραση,"rest, relaxation"
ομάδα,"team, group",ομάδα,"team, group"
παράσταση,"performance, show",παράσταση,"performance, show"
παραγωγή,"production, generation, output",παραγωγή,"production, generation, output"
περίπτωση,"case, situation, way",περίπτωση,"case, situation, way"
περιγραφή,description,περιγραφή,description
περιεχόμενο,content,περιεχόμενο,content
πλευρά,side,πλευρά,side
προστασία,protection,προστασία,protection
προφίλ,"profile, résumé",προφίλ,"profile, résumé"
πρόβλημα,"problem, issue",πρόβλημα,"problem, issue"
πτυχίο,"degree, certificate, diploma",πτυχίο,"degree, certificate, diploma"
ρεκόρ,record,ρεκόρ,record
σκοτάδι,"dark, darkness",σκοτάδι,"dark, darkness"
συμφωνία,"agreement, deal",συμφωνία,"agreement, deal"
σωστό,"correct, right, correct one.",σωστό,"correct, right, correct one."
σύστημα,"system, a system",σύστημα,"system, a system"
υποκείμενο,subject,υποκείμενο,subject
φωνή,"voice, vox",φωνή,"voice, vox"
χρέωση,"charge, cost, fee",χρέωση,"charge, cost, fee"
ύπαρξη,"existence, being, entity",ύπαρξη,"existence, being, entity"
άγριος,wild,άγριος,wild
άνετος,comfortable,άνετος,comfortable
ασφαλής,safe,ασφαλής,safe
δραστήριος,active,δραστήριος,active
ευαίσθητος,sensitive,ευαίσθητος,sensitive
καινούριος,new,καινούριος,new
κομψός,"elegant, classy",κομψός,"elegant, classy"
σταθερός,firm,σταθερός,firm
τυχερός,lucky,τυχερός,lucky
υγιής,"healthy, hale",υγιής,"healthy, hale"
αγελάδα,cow,αγελάδα,cow
αγελάδας,cow,αγελάδας,cow
αλιγάτορας,"alligator, an alligator",αλιγάτορας,"alligator, an alligator"
βάτραχος,"frog, toad",βάτραχος,"frog, toad"
γάιδαρος,"donkey, a donkey",γάιδαρος,"donkey, a donkey"
γεράκι,"hawk, falcon",γεράκι,"hawk, falcon"
γουρούνι,pig,γουρούνι,pig
δελφίνι,dolphin,δελφίνι,dolphin
θηλαστικά,mammals,θηλαστικά,mammals
ιπποπόταμος,"hippo, hippopotamus",ιπποπόταμος,"hippo, hippopotamus"
καρχαρίας,shark,καρχαρίας,shark
κατσίκα,goat,κατσίκα,goat
κουνέλι,"rabbit, bunny",κουνέλι,"rabbit, bunny"
κροκόδειλος,"crocodile, a crocodile",κροκόδειλος,"crocodile, a crocodile"
μαϊμού,monkey,μαϊμού,monkey
πρόβατο,"sheep, lamb",πρόβατο,"sheep, lamb"
ρινόκερος,"rhino, rhinoceros",ρινόκερος,"rhino, rhinoceros"
ρινόκερους,rhinos,ρινόκερους,rhinos
σαλιγκάρι,snail,σαλιγκάρι,snail
φάλαινα,whale,φάλαινα,whale
φίδι,"snake, serpent",φίδι,"snake, serpent"
χαμαιλέων,chameleon,χαμαιλέων,chameleon
χταπόδι,octopus,χταπόδι,octopus
άγαλμα,statue,άγαλμα,statue
έκθεση,"exhibition, account, exhibit",έκθεση,"exhibition, account, exhibit"
ήχος,sound,ήχος,sound
βιολί,"violin, the violin",βιολί,"violin, the violin"
διαγωνισμός,"contest, competition",διαγωνισμός,"contest, competition"
ηθοποιός,"actress, an actor, an actress",ηθοποιός,"actress, an actor, an actress"
θεατρικό έργο,play,θεατρικό έργο,play
κάμερα,"camera, the video camera, a camera",κάμερα,"camera, the video camera, a camera"
κιθάρα,guitar,κιθάρα,guitar
μουσική,"music, musical",μουσική,"music, musical"
μουσικό όργανο,Musical Instruments,μουσικό όργανο,Musical Instruments
μούσα,Muse,μούσα,Muse
μυθιστόρημα,"novel, a novel",μυθιστόρημα,"novel, a novel"
νότα,"note, the, Η ΝΟΤΑ",νότα,"note, the, Η ΝΟΤΑ"
πίνακας,"painting, board, chart",πίνακας,"painting, board, chart"
παρτιτούρα,"sheet music, musical score",παρτιτούρα,"sheet music, musical score"
πιάνο,"piano, the piano",πιάνο,"piano, the piano"
ποίηση,poetry,ποίηση,poetry
πολιτισμός,"culture, civilization",πολιτισμός,"culture, civilization"
πρόβα,"rehearsal, fitting",πρόβα,"rehearsal, fitting"
συλλογή,"collection, compilation",συλλογή,"collection, compilation"
συναυλία,concert,συναυλία,concert
τέχνη,art,τέχνη,art
ταινία,"movie, film, a movie",ταινία,"movie, film, a movie"
τραγούδι,"song, singing",τραγούδι,"song, singing"
φλάουτο,"flute, the flute",φλάουτο,"flute, the flute"
φυσαρμόνικα,"harmonica, concertina, mouth harp",φυσαρμόνικα,"harmonica, concertina, mouth harp"
φωτογραφία,"photo, picture, photography",φωτογραφία,"photo, picture, photography"
όπερα,opera,όπερα,opera
άθλημα,sport,άθλημα,sport
αγώνας,"match, game, race",αγώνας,"match, game, race"
αθλητής,"athlete, sportsman",αθλητής,"athlete, sportsman"
αθλητικός,athletic,αθλητικός,athletic
αθλητισμός,athletism,αθλητισμός,athletism
γυμνάζομαι & γυμνάζω,I exercise & I exercise,γυμνάζομαι & γυμνάζω,I exercise & I exercise
γυμναστής,"gymnast, fitness instructor",γυμναστής,"gymnast, fitness instructor"
γυμναστική,"working out, exercise",γυμναστική,"working out, exercise"
ιδεώδες,ideal,ιδεώδες,ideal
ολυμπιακός,olympic,ολυμπιακός,olympic
αναζήτηση,"search, searching, pursuit",αναζήτηση,"search, searching, pursuit"
γλώσσα,"tongue, language",γλώσσα,"tongue, language"
γράμμα,(a) letter,γράμμα,(a) letter
γραμματόσημο,"stamp, postage, postage stamp",γραμματόσημο,"stamp, postage, postage stamp"
δίκτυο,network,δίκτυο,network
δημοσιογράφος,"journalist, a journalist, newscaster]",δημοσιογράφος,"journalist, a journalist, newscaster]"
διάλογος,"dialogue, dialog, discussion",διάλογος,"dialogue, dialog, discussion"
διαδίκτυο,"Internet, net, web",διαδίκτυο,"Internet, net, web"
διεύθυνση,address,διεύθυνση,address
είδηση,"news, the new",είδηση,"news, the new"
ειδήσεων,of news,ειδήσεων,of news
επικοινωνία,"communication, contact",επικοινωνία,"communication, contact"
επιστολή,letter,επιστολή,letter
εφημερίδα,"newspaper, gazette, journal",εφημερίδα,"newspaper, gazette, journal"
ιστορία,"history, story",ιστορία,"history, story"
κανάλι,"channel, (TV/Radio) station",κανάλι,"channel, (TV/Radio) station"
κανάλια,channels,κανάλια,channels
κείμενο,"text, passage, piece",κείμενο,"text, passage, piece"
μήνυμα,"message, SMS",μήνυμα,"message, SMS"
πληροφορία,"information, some information",πληροφορία,"information, some information"
συνέντευξη,"interview, an interview",συνέντευξη,"interview, an interview"
σχόλιο,"comment, remark, statement",σχόλιο,"comment, remark, statement"
ταχυδρομική κάρτα,"postcard, post card",ταχυδρομική κάρτα,"postcard, post card"
βιβλιοθήκη,"library, bookcase",βιβλιοθήκη,"library, bookcase"
γνώση,knowledge,γνώση,knowledge
δάσκαλος,"teacher, a teacher",δάσκαλος,"teacher, a teacher"
διάλεξη,lecture,διάλεξη,lecture
διδακτορικό,"doctorate, Doctorate, PhD",διδακτορικό,"doctorate, Doctorate, PhD"
εκπαίδευση,"education, training",εκπαίδευση,"education, training"
εξάμηνο,semester,εξάμηνο,semester
κεφάλαιο,"chapter, capital",κεφάλαιο,"chapter, capital"
λόγος,"speech, purpose, reason",λόγος,"speech, purpose, reason"
μάθημα,"course, lesson, subject",μάθημα,"course, lesson, subject"
μαθαίνω,learn,μαθαίνω,learn
μεταπτυχιακό,(a) Master,μεταπτυχιακό,(a) Master
πανεπιστήμιο,"university, college",πανεπιστήμιο,"university, college"
παρουσίαση,presentation,παρουσίαση,presentation
ποίημα,poem,ποίημα,poem
πρόγραμμα,"program, programme, schedule",πρόγραμμα,"program, programme, schedule"
σπουδάζω,"study, I study, I'm studying",σπουδάζω,"study, I study, I'm studying"
σπουδές,studies,σπουδές,studies
σχολείο,"school, to school",σχολείο,"school, to school"
τεστ,test,τεστ,test
τμήμα,"department, part, section",τμήμα,"department, part, section"
έρθω,come,έρθω,come
αρχίσω,"start, begin",αρχίσω,"start, begin"
γίνω,(I) become,γίνω,(I) become
είμαι,"I am, I'm, be",είμαι,"I am, I'm, be"
θα έρθει,will come,θα έρθει,will come
θα ακολουθήσουμε,we will follow,θα ακολουθήσουμε,we will follow
θα απαντήσω,"I will answer, I will reply, I will respond",θα απαντήσω,"I will answer, I will reply, I will respond"
θα βρω,I will find,θα βρω,I will find
θα γίνει,"will become, will he become, will happen",θα γίνει,"will become, will he become, will happen"
θα γράψεις,"will you write, you will write",θα γράψεις,"will you write, you will write"
θα είναι,(he/she/it) will be,θα είναι,(he/she/it) will be
θα κάνεις,you will do,θα κάνεις,you will do
θα μαγειρέψουν,they will cook,θα μαγειρέψουν,they will cook
θα μου δώσει,(he/she/it) will give me,θα μου δώσει,(he/she/it) will give me
θα μου μιλήσει,"will speak to me, will talk to me",θα μου μιλήσει,"will speak to me, will talk to me"
θα νικήσει,will win,θα νικήσει,will win
θα ξεκινήσουν,will start,θα ξεκινήσουν,will start
θα πάει,"will go, he/she/it will go",θα πάει,"will go, he/she/it will go"
θα παίξω,I will play,θα παίξω,I will play
θα πω,I will tell,θα πω,I will tell
θα σε δω,"I'll see you, I will see, I will see you",θα σε δω,"I'll see you, I will see, I will see you"
θα σε νικήσω,"I will defeat you, I will beat you",θα σε νικήσω,"I will defeat you, I will beat you"
θα φας,You will eat,θα φας,You will eat
θα φύγω,"I will go away, I will leave",θα φύγω,"I will go away, I will leave"
θα χρησιμοποιήσω,I'll use,θα χρησιμοποιήσω,I'll use
κάνω,"do, I do, I make",κάνω,"do, I do, I make"
μιλήσω,"talked, spoke, I spoke",μιλήσω,"talked, spoke, I spoke"
πάω,"go, I go, going",πάω,"go, I go, going"
παίξω,"play, (we) play",παίξω,"play, (we) play"
πιω,"drink, (I) drink",πιω,"drink, (I) drink"
φάω,eat,φάω,eat
αρνηθώ,"they refuse, do they refuse",αρνηθώ,"they refuse, do they refuse"
ασχοληθώ,concern yourself with,ασχοληθώ,concern yourself with
επισκεφτώ,visited,επισκεφτώ,visited
θυμηθώ,remember,θυμηθώ,remember
κοιμηθώ,we were sleeping,κοιμηθώ,we were sleeping
ξεκουραστώ,rest,ξεκουραστώ,rest
σκεφτώ,(I) think (about),σκεφτώ,(I) think (about)
φανταστώ,(I) imagine,φανταστώ,(I) imagine
φανώ,seemed,φανώ,seemed
χρειαστώ,I needed,χρειαστώ,I needed
δέξου,accept!,δέξου,accept!
εμπιστεύσου,trust,εμπιστεύσου,trust
θυμήσου,remember! (imp),θυμήσου,remember! (imp)
κάτσε,sit! (imp),κάτσε,sit! (imp)
κοιμήσου,we were sleeping,κοιμήσου,we were sleeping
ξεκουράσου,rest! (imp),ξεκουράσου,rest! (imp)
σήκω,get up!,σήκω,get up!
σκέψου,"think, consider, think (of/about)",σκέψου,"think, consider, think (of/about)"
υποσχέσου,"promise!, promise",υποσχέσου,"promise!, promise"
φαντάσου,imagine (2nd sing.),φαντάσου,imagine (2nd sing.)
άρρωστος,"sick, ill, ailing",άρρωστος,"sick, ill, ailing"
αίμα,blood,αίμα,blood
ανάγκη,"need, emergency, an emergency",ανάγκη,"need, emergency, an emergency"
ασθένεια,"a disease, illness, what disease do I have",ασθένεια,"a disease, illness, what disease do I have"
ασθενοφόρο,"ambulance, an ambulance",ασθενοφόρο,"ambulance, an ambulance"
αυτιά,"these, they, the things",αυτιά,"these, they, the things"
βοήθεια,"help, assistance",βοήθεια,"help, assistance"
δάχτυλα,"fingers, toes",δάχτυλα,"fingers, toes"
δέρμα,skin,δέρμα,skin
δίαιτα,diet,δίαιτα,diet
δόντια,teeth,δόντια,teeth
εγκέφαλος,brain,εγκέφαλος,brain
θεραπεία,"treatment, cure, therapy",θεραπεία,"treatment, cure, therapy"
θεραπείας,"of the treatment, of the therapy, of the cure",θεραπείας,"of the treatment, of the therapy, of the cure"
ιός,virus,ιός,virus
καρδιά,heart,καρδιά,heart
καρκίνος,cancer,καρκίνος,cancer
κεφάλι,head,κεφάλι,head
κλινική,"clinic, clinical",κλινική,"clinic, clinical"
μάτι,eye,μάτι,eye
μάτια,eyes,μάτια,eyes
μαλλί,"wool, hair",μαλλί,"wool, hair"
μύτη,nose,μύτη,nose
νοσοκομείο,hospital,νοσοκομείο,hospital
πλάτη,back,πλάτη,back
πρόσωπο,"face, person",πρόσωπο,"face, person"
πόδια,"legs, feet, tentacles",πόδια,"legs, feet, tentacles"
στήθος,"chest, breast",στήθος,"chest, breast"
στόμα,mouth,στόμα,mouth
σώμα,"body, figure, corps",σώμα,"body, figure, corps"
υγεία,health,υγεία,health
φάρμακο,medicine,φάρμακο,medicine
φροντίδα,"care, treatment",φροντίδα,"care, treatment"
χέρι,"hand, arm",χέρι,"hand, arm"
χέρια,"hands, arms",χέρια,"hands, arms"
χείλη,lips,χείλη,lips
όραση,"vision, sight, eyesight",όραση,"vision, sight, eyesight"
ώμος,shoulder,ώμος,shoulder
άμμος,sand,άμμος,sand
έδαφος,"ground, land, soil",έδαφος,"ground, land, soil"
αέρας,"air, wind, breeze",αέρας,"air, wind, breeze"
αστέρι,star,αστέρι,star
βουνό,"mountain, mount",βουνό,"mountain, mount"
βροχή,rain,βροχή,rain
γη,"earth, land, ground",γη,"earth, land, ground"
γρασίδι,grass,γρασίδι,grass
δέντρα,trees,δέντρα,trees
δέντρο,tree,δέντρο,tree
θάλασσα,"sea, the sea",θάλασσα,"sea, the sea"
κάμπος,"plain, field, meadow",κάμπος,"plain, field, meadow"
καιρός,"weather, time",καιρός,"weather, time"
καπνός,smoke,καπνός,smoke
κλίμα,climate,κλίμα,climate
λουλούδι,"flower, bloom, blossom",λουλούδι,"flower, bloom, blossom"
ξύλο,wood,ξύλο,wood
ουρανός,sky,ουρανός,sky
πέτρα,"stone, rock",πέτρα,"stone, rock"
περιβάλλον,environment,περιβάλλον,environment
πλανήτης,"planet, world",πλανήτης,"planet, world"
ποτάμι,river,ποτάμι,river
σκόνη,"dust, powder",σκόνη,"dust, powder"
σύμπαν,universe,σύμπαν,universe
σύννεφο,cloud,σύννεφο,cloud
τοπίο,"landscape, scenery",τοπίο,"landscape, scenery"
τριαντάφυλλο,rose,τριαντάφυλλο,rose
φεγγάρι,moon,φεγγάρι,moon
φυσικός,natural,φυσικός,natural
φυτά,plants,φυτά,plants
φυτό,plant,φυτό,plant
φως,light,φως,light
φωτιά,fire,φωτιά,fire
φύλλο,"leaf, sheet",φύλλο,"leaf, sheet"
φύση,nature,φύση,nature
χιονοστιβάδα,avalanche,χιονοστιβάδα,avalanche
χωράφι,field,χωράφι,field
ωκεανός,ocean,ωκεανός,ocean
ακουγόμουν,"I was heard, I sounded",ακουγόμουν,"I was heard, I sounded"
βρισκόμουν,I was,βρισκόμουν,I was
θυμόμουν,remember,θυμόμουν,remember
καθόμουν,"you were sitting, you were sitting down, you used to sit",καθόμουν,"you were sitting, you were sitting down, you used to sit"
κοιμόμουν,I was sleeping,κοιμόμουν,I was sleeping
κρυβόμουν,"is hiding, (he/she/it) hides, (he/she/it) is hiding",κρυβόμουν,"is hiding, (he/she/it) hides, (he/she/it) is hiding"
ονειρευόμουν,"dream of, it, I was dreaming",ονειρευόμουν,"dream of, it, I was dreaming"
σηκωνόμουν,"I was getting up, I used to get up",σηκωνόμουν,"I was getting up, I used to get up"
χανόμουν,"I used to get lost, I was getting lost",χανόμουν,"I used to get lost, I was getting lost"
χρειαζόμουν,"I needed, I used to need",χρειαζόμουν,"I needed, I used to need"
άγγιζα,"was touching, he/she/it was touching",άγγιζα,"was touching, he/she/it was touching"
έβλεπα,(I) was watching,έβλεπα,(I) was watching
έτρεχα,I was running,έτρεχα,I was running
έτρωγα,(I) was eating,έτρωγα,(I) was eating
κολυμπούσα,I was swimming,κολυμπούσα,I was swimming
μαγείρευα,I was cooking,μαγείρευα,I was cooking
μπορούσα,"could, used to be able",μπορούσα,"could, used to be able"
πήγαινα,I was going,πήγαινα,I was going
τραγουδούσα,singing,τραγουδούσα,singing
υπήρχα,"there were, there used to be",υπήρχα,"there were, there used to be"
δημοκρατία,"democracy, republic",δημοκρατία,"democracy, republic"
δικαστικός,"a judge, magistrate",δικαστικός,"a judge, magistrate"
κοινωνία,"society, community",κοινωνία,"society, community"
κράτος,state,κράτος,state
κυβέρνηση,government,κυβέρνηση,government
νόμος,law,νόμος,law
πρόεδρος,"president, the president",πρόεδρος,"president, the president"
σύμμαχος,ally,σύμμαχος,ally
ψηφίζω,"(we) vote, (we) vote for",ψηφίζω,"(we) vote, (we) vote for"
έχω έρθει,I have come,έχω έρθει,I have come
έχω ακούσει,I have heard,έχω ακούσει,I have heard
έχω γίνει,I have become,έχω γίνει,I have become
έχω δει,I have seen,έχω δει,I have seen
έχω κάνει,I've done,έχω κάνει,I've done
έχω μαγειρέψει,I have cooked,έχω μαγειρέψει,I have cooked
έχω μιλήσει,(I) have talked (to),έχω μιλήσει,(I) have talked (to)
έχω πάει,"have been, have gone",έχω πάει,"have been, have gone"
έχω παίξει,I have played,έχω παίξει,I have played
έχω,έχω
                    φάει,I have eaten,                    φάει,I have eaten
γίνομαι,become,γίνομαι,become
δέχομαι,"accept, I accept",δέχομαι,"accept, I accept"
θυμάμαι,"remember, I remember, recall",θυμάμαι,"remember, I remember, recall"
κάθομαι,"I am sitting, i sit",κάθομαι,"I am sitting, i sit"
κοιμάμαι,"sleep, sleeping, I sleep",κοιμάμαι,"sleep, sleeping, I sleep"
μακάρι,"may, may (expressing wish)",μακάρι,"may, may (expressing wish)"
σηκώνομαι,"lift, pick up",σηκώνομαι,"lift, pick up"
σκέφτομαι,"think, I am thinking, I think",σκέφτομαι,"think, I am thinking, I think"
υπόσχομαι,i promise,υπόσχομαι,i promise
φαντάζομαι,I imagine,φαντάζομαι,I imagine
,
