έκπληξη,surprise
ακολουθία,"order, following, sequence"
αλήθεια,"truth, true"
απόφαση,"decision, determination"
διάστημα,space
δύναμη,"strength, force, power"
εμπειρία,experience
ενδιαφέρον,"interesting, interest"
ευχαρίστηση,"pleasure, gratification"
ζημιά,"damage, detriment, harm"
ζωή,"life, a life"
θέση,"position, place, seat"
θρησκεία,religion
κίνηση,traffic
κατάσταση,"situation, shape, condition"
κατεύθυνση,"direction, way"
μίσος,"hate, hatred, enmity"
μνήμη,"memory, any memory, remembrance"
μυστικό,secret
πίστη,"faith, belief"
παράδειγμα,"example, instance"
πραγματικότητα,reality
προέλευση,origin
προσπάθεια,"attempt, effort, try"
πόθος,"desire, lust, craving"
σεβασμός,respect
σκηνή,"stage, scene, a scene"
σκιά,"shadow, shade"
σκοπός,"purpose, aim, guard"
συζήτηση,"conversation, discussion, discourse"
συμπεριφορά,"behavior, attitude, behavior / behaviour"
σχέση,"relationship, a relationship, relation"
σχήμα,"shape, figure"
σύμβολο,"symbol, emblem, ensign"
σύνθημα,"cue, password, catchword"
τίτλος,title
υπογραφή,"signature, a signature, subscription"
φόβος,fear
χαρακτήρας,character
χιούμορ,"humor, a sense of humor/humour, wit"
ψέμα,"lie, false, falsehood"
όφελος,"advantage, profit, to be gained"
