άκρη,"edge, end, side"
έννοια,"concept, concern"
αγάπη,"love, you love"
απάντηση,"an answer, response, a reply"
αποτέλεσμα,"result, effect, results"
αποτυχία,failure
απόδειξη,"proof, evidence, receipt"
βραβείο,"award, prize, reward"
δραστηριότητα,"activity, occupation, pastime"
είσοδος,"entrance, entry, gateway"
εικόνα,"image, picture, figure"
εισαγωγή,"introduction, admission"
ελευθερία,"freedom, liberty"
ελπίδα,hope
εξοπλισμός,"equipment, outfit"
επιλογή,"choice, option, a choice"
επιτυχία,"success, gateway to success"
ευγένεια,"politeness, civility, courtesy"
ευκαιρία,"opportunity, chance, bargain"
ευχή,wish
θάνατος,death
θέα,view
καθήκον,duty
κατασκευή,"construction, building, structure"
κατηγορία,"category, accusation, genre"
λάθος,"Wrong, mistake, error"
λίστα,list
λύση,"solution, solution to"
μέλος,member
μέρος,"place, part, piece"
νέα,"new, news, young"
ξεκούραση,"rest, relaxation"
ομάδα,"team, group"
παράσταση,"performance, show"
παραγωγή,"production, generation, output"
περίπτωση,"case, situation, way"
περιγραφή,description
περιεχόμενο,content
πλευρά,side
προστασία,protection
προφίλ,"profile, résumé"
πρόβλημα,"problem, issue"
πτυχίο,"degree, certificate, diploma"
ρεκόρ,record
σκοτάδι,"dark, darkness"
συμφωνία,"agreement, deal"
σωστό,"correct, right, correct one."
σύστημα,"system, a system"
υποκείμενο,subject
φωνή,"voice, vox"
χρέωση,"charge, cost, fee"
ύπαρξη,"existence, being, entity"
