άγαλμα,statue
έκθεση,"exhibition, account, exhibit"
ήχος,sound
βιολί,"violin, the violin"
διαγωνισμός,"contest, competition"
εικόνα,"image, picture, figure"
ηθοποιός,"actress, an actor, an actress"
θεατρικό έργο,play
κάμερα,"camera, the video camera, a camera"
κιθάρα,guitar
μουσική,"music, musical"
μουσικό όργανο,Musical Instruments
μούσα,Muse
μυθιστόρημα,"novel, a novel"
νότα,"note, the, Η ΝΟΤΑ"
πίνακας,"painting, board, chart"
παρτιτούρα,"sheet music, musical score"
πιάνο,"piano, the piano"
ποίηση,poetry
πολιτισμός,"culture, civilization"
πρόβα,"rehearsal, fitting"
συλλογή,"collection, compilation"
συναυλία,concert
τέχνη,art
ταινία,"movie, film, a movie"
τραγούδι,"song, singing"
φλάουτο,"flute, the flute"
φυσαρμόνικα,"harmonica, concertina, mouth harp"
φωτογραφία,"photo, picture, photography"
όπερα,opera
