άρρωστος,"sick, ill, ailing"
αίμα,blood
ανάγκη,"need, emergency, an emergency"
ασθένεια,"a disease, illness, what disease do I have"
ασθενοφόρο,"ambulance, an ambulance"
αυτιά,"these, they, the things"
βοήθεια,"help, assistance"
γλώσσα,"tongue, language"
δάχτυλα,"fingers, toes"
δέρμα,skin
δίαιτα,diet
δόντια,teeth
εγκέφαλος,brain
θεραπεία,"treatment, cure, therapy"
θεραπείας,"of the treatment, of the therapy, of the cure"
ιός,virus
καρδιά,heart
καρκίνος,cancer
κεφάλι,head
κλινική,"clinic, clinical"
μάτι,eye
μάτια,eyes
μαλλί,"wool, hair"
μύτη,nose
νοσοκομείο,hospital
πλάτη,back
πρόσωπο,"face, person"
πόδια,"legs, feet, tentacles"
στήθος,"chest, breast"
στόμα,mouth
σώμα,"body, figure, corps"
υγεία,health
φάρμακο,medicine
φροντίδα,"care, treatment"
χέρι,"hand, arm"
χέρια,"hands, arms"
χείλη,lips
όραση,"vision, sight, eyesight"
ώμος,shoulder
