έδειξε,"showed, were chosen by, chose"
αθήνας,Athens
αποφοίτηση,graduation
βαφτίσια,baptism
γάμο,"marriage, wedding"
γάμος,"marriage, wedding"
γέννηση,birth
γενέθλια,birthday
γεννήσεις,births
γιορτή,"celebration, holiday, celebation"
γονιών,parents
διαγωνισμού,competition
διαγωνισμός,"contest, competition"
ζευγάρια,"couples, pairs (of)"
θάνατο,death
θάνατος,death
θα πραγματοποιηθεί,will be held
θα τρέξω,I will run
ιούλιο,July
κηδεία,funeral
κλήρωση,"drawing, draw, lottery"
κλήρωσης,"raffle, lottery"
μαραθώνιο,marathon
μαραθώνιος,marathon
νικήτρια,winner
νικητής,winner
ορκωμοσία,"oath taking, swearing in, inauguration"
παντρεύομαι,"is getting married, (he/she) gets married"
πεθαίνω,die
προσκαλέσω,invite
πυροτέχνημα,firework
τραγουδιού,singing
φεστιβάλ,"festival, festivals"
φοβάται,"is afraid of, he is afraid of"
φυσικός,natural
