άλγεβρα,"algebra, Algebra"
ίσον,equals
ακτίνα,"radius, ray, spoke"
αριθμός,"number, a number, digit"
αφαίρεση,"subtraction, abstraction, deduction"
γεωμετρία,geometry
γεωμετρικά σχήματα,geometric shapes
γεωμετρικό σχήμα,geometric shape
γωνία,"corner, angle, on the corner"
γωνίες,"angles, corners"
διαίρεση,division
κλάσμα,fraction
κύβος,"cube, block"
κύκλος,"circle, cycle"
μαθηματικά,"mathematics, maths"
μείον,less
μοίρες,degrees
ορθογώνιο,"rectangle, rectangular"
πολλαπλασιασμός,"multiplication, proliferation"
πολυγώνου,of the polygon
πολύγωνο,polygon
πράξη,"act, acts"
πρόσθεση,addition
πυθαγόρειο θεώρημα,pythagorean theorem
πυραμίδα,pyramid
συν,plus
σχήμα,"shape, figure"
τετράγωνο,"square, quadrangle, quadrate"
τετραγωνική ρίζα,square root
τρίγωνο,triangle
τρεις,three
