αρετές,virtues
αρετή,virtue
δεισιδαιμονία,superstition
θεέ,"god, oh my god"
θεός,"god, a god"
θρησκεία,religion
ιερός,"sacred, holy"
κατάθλιψη,depression
μάγος,"magician, wizard, sorcerer"
μέλλον,"future, a future"
μετενσάρκωση,reincarnation
μνήμη,"memory, any memory, remembrance"
μοίρα,"fate, degree"
νεκρό,dead
νεκρός,dead
πίστη,"faith, belief"
παρελθόν,past
παρόν,"Present, This"
προγόνων,ancestors
προκατάληψη,"prejudice, bias, preconception"
προστάτης,"protector, guardian"
πρόγονος,ancestor
σταυρός,cross
στοιχειωμένο,haunted
στοιχειωμένος,haunted
σύμβολα,symbols
φάντασμα,"ghost, phantom"
φαντάσματα,"ghosts, phantoms"
φιλοσοφία,philosophy
ψυχή,"soul, psyche"
ψυχολογία,psychology
